Timestamp | Soil_Moisture(%) | Humidity(%) | Temperature(°C) | Light(%)
190048 | 14.27 | 46.89 | 23.28 | 977.00
190058 | 15.42 | 48.12 | 22.26 | 702.00
190108 | 15.92 | 46.64 | 23.07 | 856.00
190118 | 18.07 | 53.27 | 20.70 | 738.00
190128 | 14.59 | 53.95 | 20.72 | 895.00
190138 | 16.18 | 51.27 | 20.77 | 831.00
190148 | 17.26 | 51.12 | 22.93 | 858.00
190158 | 15.13 | 45.86 | 20.46 | 997.00
190208 | 13.93 | 47.81 | 20.35 | 932.00
190218 | 15.04 | 46.92 | 20.25 | 755.00
190228 | 13.06 | 45.56 | 21.76 | 991.00
190238 | 14.27 | 48.00 | 20.66 | 983.00
190248 | 14.41 | 53.57 | 20.00 | 763.00
190258 | 16.28 | 54.73 | 23.55 | 837.00
190308 | 15.56 | 54.05 | 21.98 | 887.00
190318 | 12.17 | 47.07 | 22.02 | 713.00
190328 | 12.82 | 48.64 | 21.74 | 859.00
190338 | 14.30 | 45.01 | 20.42 | 769.00
190348 | 15.29 | 51.22 | 20.15 | 762.00
190358 | 15.66 | 46.02 | 23.61 | 827.00
190408 | 17.32 | 47.63 | 23.55 | 945.00
190418 | 17.21 | 48.83 | 20.66 | 916.00
190428 | 14.09 | 49.77 | 23.38 | 923.00
190438 | 12.90 | 45.16 | 21.52 | 986.00
190448 | 12.38 | 52.15 | 21.59 | 925.00
190458 | 11.29 | 48.04 | 20.42 | 755.00
190508 | 7.83 | 51.26 | 23.21 | 861.00
190518 | 8.82 | 45.60 | 20.60 | 859.00
190528 | 8.44 | 53.86 | 21.47 | 991.00
190538 | 9.76 | 54.38 | 20.49 | 889.00
190548 | 10.25 | 45.36 | 23.08 | 992.00
190558 | 8.15 | 50.60 | 22.34 | 993.00
190608 | 5.78 | 47.43 | 22.74 | 811.00
190618 | 4.28 | 45.44 | 21.16 | 812.00
190628 | 2.32 | 45.49 | 22.31 | 853.00
190638 | 0.86 | 45.18 | 21.79 | 757.00
190648 | 0.00 | 49.15 | 22.05 | 901.00
190658 | 0.00 | 48.09 | 21.92 | 836.00
190708 | 1.74 | 47.80 | 20.83 | 938.00
190718 | 2.99 | 48.16 | 23.83 | 918.00
190728 | 4.65 | 48.34 | 22.26 | 899.00
190738 | 3.71 | 46.52 | 22.12 | 824.00
190748 | 3.88 | 45.98 | 23.92 | 870.00
190758 | 1.81 | 53.05 | 21.52 | 940.00
190808 | 3.60 | 51.08 | 20.57 | 976.00
190818 | 3.38 | 53.13 | 20.41 | 710.00
190828 | 5.60 | 46.43 | 23.82 | 794.00
190838 | 5.98 | 46.15 | 22.50 | 776.00
190848 | 4.37 | 50.18 | 22.40 | 780.00
190858 | 1.30 | 45.19 | 21.35 | 732.00
190908 | 1.39 | 47.44 | 22.16 | 915.00
190918 | 0.00 | 50.57 | 20.38 | 955.00
190928 | 0.00 | 50.97 | 22.24 | 795.00
190938 | 0.00 | 49.28 | 21.11 | 881.00
190948 | 1.50 | 50.74 | 23.16 | 965.00
190958 | 3.01 | 54.72 | 21.64 | 991.00
191008 | 0.51 | 49.69 | 22.40 | 832.00
191018 | 0.00 | 48.51 | 21.17 | 730.00
191028 | 0.00 | 46.14 | 23.07 | 722.00
191038 | 0.51 | 52.89 | 23.33 | 885.00
191048 | 0.98 | 50.36 | 23.09 | 721.00
191058 | 1.88 | 54.52 | 20.76 | 869.00
191108 | 0.00 | 48.09 | 23.10 | 998.00
191118 | 0.41 | 52.87 | 21.19 | 818.00
191128 | 0.00 | 46.29 | 23.77 | 984.00
191138 | 0.00 | 47.45 | 21.87 | 807.00
191148 | 1.14 | 48.11 | 21.30 | 740.00
191158 | 0.12 | 53.02 | 22.55 | 716.00
191208 | 1.95 | 54.48 | 21.93 | 977.00
191218 | 2.28 | 52.40 | 20.92 | 838.00
191228 | 3.55 | 48.37 | 20.63 | 852.00
191238 | 0.24 | 46.80 | 20.87 | 703.00
191248 | 2.15 | 54.57 | 22.46 | 772.00
191258 | 0.00 | 49.97 | 22.40 | 929.00
191308 | 1.90 | 50.16 | 23.06 | 719.00
191318 | 1.00 | 48.05 | 22.25 | 765.00
191328 | 3.22 | 49.41 | 21.36 | 944.00
191338 | 0.40 | 51.81 | 20.22 | 880.00
191348 | 0.00 | 45.19 | 21.46 | 884.00
191358 | 0.18 | 54.31 | 22.28 | 906.00
191408 | 0.00 | 50.71 | 22.45 | 954.00
191418 | 1.21 | 49.81 | 20.31 | 824.00
191428 | 0.76 | 49.30 | 21.96 | 836.00
191438 | 3.04 | 48.64 | 23.91 | 972.00
191448 | 0.74 | 51.68 | 20.89 | 788.00
191458 | 2.70 | 48.48 | 22.25 | 997.00
191508 | 3.33 | 45.65 | 23.70 | 724.00
191518 | 4.90 | 52.72 | 21.06 | 846.00
191528 | 3.72 | 48.25 | 22.35 | 736.00
191538 | 3.36 | 46.20 | 20.06 | 827.00
191548 | 3.51 | 49.00 | 23.71 | 785.00
191558 | 1.98 | 45.27 | 23.23 | 802.00
191608 | 0.00 | 51.97 | 22.09 | 988.00
191618 | 0.00 | 50.01 | 20.75 | 858.00
191628 | 0.38 | 53.35 | 21.70 | 895.00
191638 | 1.39 | 50.10 | 20.81 | 934.00
191648 | 2.53 | 50.58 | 23.45 | 934.00
191658 | 1.79 | 52.70 | 23.71 | 793.00
191708 | 0.00 | 53.14 | 20.22 | 708.00
191718 | 0.00 | 47.64 | 23.34 | 719.00
191728 | 0.20 | 46.62 | 22.94 | 847.00
191738 | 2.69 | 48.53 | 20.73 | 895.00
191748 | 3.95 | 51.56 | 22.96 | 907.00
191758 | 1.85 | 52.33 | 21.91 | 998.00
191808 | 0.00 | 50.70 | 20.75 | 956.00
191818 | 0.00 | 45.48 | 23.36 | 787.00
191828 | 0.87 | 50.89 | 23.06 | 752.00
191838 | 0.00 | 45.57 | 21.55 | 820.00
191848 | 0.00 | 53.62 | 23.19 | 706.00
191858 | 0.00 | 48.02 | 23.14 | 971.00
191908 | 0.00 | 46.24 | 20.72 | 826.00
191918 | 2.35 | 50.77 | 22.76 | 839.00
191928 | 1.13 | 50.59 | 23.54 | 702.00
191938 | 1.08 | 54.30 | 23.29 | 700.00
191948 | 0.00 | 48.36 | 22.89 | 880.00
191958 | 0.00 | 52.73 | 23.99 | 742.00
192008 | 0.00 | 51.81 | 23.95 | 976.00
192018 | 0.00 | 45.21 | 21.80 | 720.00
192028 | 2.27 | 50.98 | 21.27 | 812.00
192038 | 1.13 | 47.93 | 20.75 | 744.00
192048 | 0.00 | 45.67 | 20.92 | 803.00
192058 | 0.00 | 51.45 | 20.98 | 862.00
192108 | 0.00 | 45.41 | 22.78 | 855.00
192118 | 1.75 | 46.79 | 23.74 | 785.00
192128 | 0.00 | 54.97 | 21.42 | 777.00
192138 | 0.00 | 46.09 | 22.11 | 947.00
192148 | 0.00 | 48.29 | 22.38 | 951.00
192158 | 0.00 | 51.05 | 20.55 | 759.00
192208 | 0.00 | 51.91 | 20.97 | 745.00
192218 | 0.00 | 46.85 | 21.26 | 945.00
192228 | 0.49 | 48.33 | 22.03 | 998.00
192238 | 1.24 | 52.04 | 22.54 | 704.00
192248 | 1.31 | 54.49 | 23.71 | 835.00
192258 | 0.00 | 52.18 | 20.31 | 745.00
192308 | 0.00 | 54.57 | 23.99 | 846.00
192318 | 0.00 | 46.01 | 22.70 | 902.00
192328 | 0.00 | 45.77 | 20.84 | 758.00
192338 | 1.90 | 49.63 | 22.57 | 876.00
192348 | 2.52 | 51.77 | 20.35 | 775.00
192358 | 1.00 | 53.24 | 21.76 | 775.00
192408 | 1.38 | 47.28 | 20.97 | 991.00
192418 | 0.00 | 53.30 | 22.88 | 965.00
192428 | 0.00 | 47.98 | 21.60 | 845.00
192438 | 0.00 | 46.35 | 22.41 | 957.00
192448 | 1.45 | 49.78 | 22.54 | 856.00
192458 | 2.00 | 49.45 | 23.59 | 912.00
192508 | 0.13 | 45.82 | 21.15 | 762.00
192518 | 0.61 | 51.72 | 20.79 | 830.00
192528 | 2.07 | 47.76 | 23.64 | 704.00
192538 | 1.93 | 46.15 | 22.62 | 733.00
192548 | 0.91 | 51.67 | 21.39 | 891.00
192558 | 3.24 | 54.88 | 21.54 | 986.00
192608 | 3.12 | 48.80 | 21.72 | 969.00
192618 | 4.02 | 52.77 | 23.32 | 827.00
192628 | 2.21 | 46.34 | 21.71 | 700.00
192638 | 0.00 | 47.40 | 22.41 | 821.00
192648 | 0.00 | 45.38 | 20.91 | 866.00
192658 | 1.37 | 50.40 | 21.29 | 814.00
192708 | 0.00 | 46.60 | 21.59 | 859.00
192718 | 0.90 | 47.69 | 21.38 | 757.00
192728 | 0.04 | 54.75 | 22.11 | 791.00
192738 | 0.00 | 52.31 | 20.79 | 933.00
192748 | 2.49 | 49.62 | 22.96 | 841.00
192758 | 0.00 | 52.98 | 21.44 | 850.00
192808 | 0.00 | 51.64 | 20.50 | 765.00
192818 | 1.91 | 46.63 | 21.17 | 966.00
192828 | 0.00 | 51.22 | 21.14 | 897.00
192838 | 0.19 | 53.03 | 21.48 | 857.00
192848 | 0.00 | 50.09 | 21.00 | 745.00
192858 | 2.11 | 50.14 | 21.50 | 836.00
192908 | 2.95 | 54.48 | 20.69 | 937.00
192918 | 0.84 | 48.65 | 22.05 | 787.00
192928 | 1.86 | 53.04 | 23.55 | 939.00
192938 | 4.26 | 52.76 | 21.43 | 730.00
192948 | 1.16 | 47.53 | 22.13 | 979.00
192958 | 2.11 | 49.83 | 22.15 | 853.00
193008 | 3.28 | 52.49 | 20.48 | 736.00
193018 | 5.44 | 47.35 | 22.75 | 877.00
193028 | 6.42 | 47.80 | 20.86 | 927.00
193038 | 7.86 | 48.81 | 22.20 | 849.00
193048 | 6.35 | 48.95 | 21.92 | 841.00
193058 | 6.24 | 48.37 | 23.69 | 846.00
193108 | 4.76 | 45.61 | 21.01 | 754.00
193118 | 3.85 | 53.37 | 21.60 | 720.00
193128 | 2.44 | 46.14 | 23.64 | 940.00
193138 | 2.65 | 45.87 | 23.02 | 825.00
193148 | 0.00 | 51.61 | 22.98 | 834.00
193158 | 0.85 | 54.12 | 20.54 | 724.00
193208 | 2.33 | 45.71 | 21.65 | 982.00
193218 | 0.97 | 48.52 | 20.76 | 796.00
193228 | 0.00 | 51.05 | 21.14 | 838.00
193238 | 0.86 | 47.83 | 23.68 | 733.00
193248 | 0.00 | 47.29 | 20.65 | 849.00
193258 | 0.00 | 50.41 | 21.54 | 931.00
193308 | 0.00 | 52.80 | 20.01 | 762.00
193318 | 0.00 | 45.21 | 22.14 | 862.00
193328 | 0.64 | 51.13 | 21.79 | 732.00
193338 | 1.87 | 51.49 | 22.78 | 918.00
193348 | 1.18 | 52.65 | 23.66 | 781.00
193358 | 0.00 | 48.27 | 21.03 | 813.00
193408 | 0.24 | 54.19 | 21.82 | 979.00
193418 | 0.00 | 51.10 | 23.08 | 938.00
193428 | 1.19 | 48.51 | 20.85 | 760.00
193438 | 0.00 | 46.61 | 20.52 | 953.00
193448 | 0.00 | 45.60 | 22.54 | 997.00
193458 | 0.00 | 46.98 | 20.79 | 830.00
193508 | 0.00 | 49.60 | 23.23 | 720.00
193518 | 1.07 | 46.83 | 23.53 | 964.00
193528 | 0.00 | 54.18 | 20.50 | 902.00
193538 | 0.00 | 49.74 | 20.31 | 817.00
193548 | 0.00 | 53.25 | 22.04 | 702.00
193558 | 0.00 | 52.00 | 22.29 | 883.00
193608 | 1.47 | 48.92 | 21.64 | 1000.00
193618 | 0.64 | 54.32 | 20.10 | 970.00
193628 | 2.48 | 50.48 | 23.60 | 881.00
193638 | 0.00 | 50.45 | 23.01 | 936.00
193648 | 0.00 | 53.10 | 21.08 | 865.00
193658 | 0.00 | 45.21 | 22.68 | 782.00
193708 | 0.00 | 45.91 | 20.39 | 987.00
193718 | 0.00 | 54.52 | 21.85 | 827.00
193728 | 0.00 | 54.22 | 23.20 | 934.00
193738 | 0.00 | 52.12 | 21.24 | 930.00
193748 | 1.97 | 48.58 | 21.55 | 706.00
193758 | 0.00 | 50.24 | 22.02 | 907.00
193808 | 0.00 | 54.70 | 20.82 | 797.00
193818 | 2.31 | 46.07 | 22.09 | 890.00
193828 | 0.66 | 47.57 | 23.45 | 765.00
193838 | 2.32 | 48.18 | 22.51 | 823.00
193848 | 4.20 | 52.93 | 23.81 | 761.00
193858 | 1.74 | 53.91 | 23.06 | 952.00
193908 | 4.19 | 50.49 | 20.28 | 917.00
193918 | 1.22 | 54.60 | 23.63 | 873.00
193928 | 3.64 | 50.27 | 22.82 | 831.00
193938 | 4.34 | 50.84 | 22.34 | 931.00
193948 | 4.82 | 53.36 | 23.47 | 940.00
193958 | 3.74 | 48.97 | 21.41 | 831.00
194008 | 5.52 | 47.24 | 22.09 | 787.00
194018 | 3.93 | 46.35 | 23.71 | 706.00
194028 | 6.18 | 47.71 | 22.62 | 823.00
194038 | 4.19 | 51.18 | 20.10 | 983.00
194048 | 2.37 | 51.23 | 22.79 | 887.00
194058 | 0.52 | 48.99 | 20.72 | 777.00
194108 | 0.00 | 54.30 | 21.60 | 709.00
194118 | 0.00 | 46.95 | 20.68 | 877.00
194128 | 0.00 | 49.05 | 22.57 | 723.00
194138 | 0.00 | 49.28 | 24.00 | 969.00
194148 | 0.81 | 53.26 | 23.30 | 965.00
194158 | 0.00 | 54.94 | 23.32 | 955.00
194208 | 0.00 | 49.70 | 21.14 | 880.00
194218 | 0.00 | 48.03 | 22.66 | 830.00
194228 | 0.34 | 47.28 | 22.30 | 741.00
194238 | 0.00 | 52.82 | 20.13 | 944.00
194248 | 0.00 | 46.74 | 22.01 | 918.00
194258 | 0.00 | 49.49 | 22.91 | 973.00
194308 | 1.78 | 47.80 | 20.46 | 829.00
194318 | 2.85 | 52.29 | 20.98 | 968.00
194328 | 1.81 | 45.04 | 20.77 | 772.00
194338 | 2.66 | 54.92 | 23.72 | 795.00
194348 | 0.00 | 54.20 | 22.36 | 993.00
194358 | 1.26 | 45.17 | 20.06 | 936.00
194408 | 1.26 | 53.82 | 23.12 | 828.00
194418 | 2.16 | 52.30 | 23.88 | 800.00
194428 | 2.33 | 52.52 | 23.82 | 979.00
194438 | 4.07 | 53.55 | 23.19 | 812.00
194448 | 1.52 | 46.21 | 20.19 | 962.00
194458 | 3.80 | 52.14 | 22.01 | 768.00
194508 | 1.37 | 53.35 | 20.69 | 725.00
194518 | 0.00 | 46.96 | 23.26 | 849.00
194528 | 0.00 | 45.87 | 21.74 | 952.00
194538 | 0.00 | 47.87 | 23.37 | 831.00
194548 | 0.00 | 48.09 | 21.69 | 998.00
194558 | 0.00 | 48.82 | 21.63 | 746.00
194608 | 0.00 | 52.94 | 20.54 | 897.00
194618 | 0.38 | 51.44 | 21.18 | 912.00
194628 | 1.50 | 49.11 | 23.38 | 869.00
194638 | 0.00 | 52.50 | 22.99 | 715.00
194648 | 1.35 | 54.63 | 22.46 | 746.00
194658 | 0.00 | 51.34 | 22.56 | 884.00
194708 | 1.17 | 52.08 | 22.04 | 927.00
194718 | 0.00 | 54.45 | 20.03 | 977.00
194728 | 0.79 | 50.75 | 21.79 | 738.00
194738 | 3.14 | 50.86 | 21.17 | 863.00
194748 | 0.62 | 48.09 | 23.88 | 850.00
194758 | 2.16 | 48.45 | 23.94 | 908.00
194808 | 1.55 | 50.87 | 22.67 | 703.00
194818 | 0.00 | 48.70 | 23.65 | 798.00
194828 | 0.00 | 49.08 | 23.97 | 748.00
194838 | 0.00 | 50.07 | 23.88 | 989.00
194848 | 2.49 | 47.54 | 20.94 | 820.00
194858 | 4.87 | 53.02 | 22.74 | 990.00
194908 | 3.18 | 52.59 | 23.07 | 962.00
194918 | 0.02 | 45.03 | 20.84 | 725.00
194928 | 0.88 | 49.79 | 22.18 | 964.00
194938 | 0.74 | 52.55 | 21.49 | 737.00
194948 | 0.00 | 50.84 | 20.86 | 949.00
194958 | 0.62 | 48.63 | 22.21 | 866.00
195008 | 1.95 | 51.93 | 21.49 | 888.00
195018 | 3.18 | 45.05 | 21.06 | 799.00
195028 | 2.75 | 54.77 | 23.03 | 771.00
195038 | 1.26 | 45.97 | 20.02 | 776.00
195048 | 2.37 | 45.50 | 20.23 | 875.00
195058 | 3.35 | 54.56 | 22.13 | 742.00
195108 | 2.36 | 45.88 | 21.37 | 966.00
195118 | 3.37 | 54.16 | 23.44 | 891.00
195128 | 0.57 | 46.17 | 20.84 | 894.00
195138 | 0.42 | 53.36 | 20.46 | 959.00
195148 | 2.08 | 47.25 | 21.12 | 871.00
195158 | 2.46 | 48.55 | 22.22 | 958.00
195208 | 1.44 | 53.53 | 23.11 | 736.00
195218 | 1.47 | 53.87 | 20.99 | 934.00
195228 | 0.71 | 50.69 | 23.67 | 787.00
195238 | 2.56 | 54.82 | 20.17 | 816.00
195248 | 0.37 | 48.57 | 23.06 | 701.00
195258 | 0.00 | 48.60 | 23.39 | 781.00
195308 | 0.22 | 48.51 | 20.38 | 724.00
195318 | 2.59 | 47.12 | 22.19 | 887.00
195328 | 4.93 | 52.79 | 22.26 | 987.00
195338 | 6.42 | 53.17 | 22.23 | 859.00
195348 | 3.41 | 47.05 | 23.06 | 875.00
195358 | 2.71 | 51.03 | 22.60 | 933.00
195408 | 4.75 | 53.43 | 21.58 | 908.00
195418 | 2.04 | 48.96 | 23.84 | 785.00
195428 | 1.76 | 53.93 | 20.73 | 967.00
195438 | 1.72 | 46.35 | 21.42 | 720.00
195448 | 0.00 | 50.88 | 23.91 | 826.00
195458 | 0.00 | 46.74 | 22.02 | 720.00
195508 | 0.41 | 52.57 | 22.31 | 729.00
195518 | 0.00 | 51.06 | 21.85 | 802.00
195528 | 0.00 | 48.44 | 21.30 | 810.00
195538 | 0.00 | 52.17 | 20.38 | 845.00
195548 | 1.63 | 45.69 | 21.03 | 962.00
195558 | 0.08 | 52.92 | 23.28 | 977.00
195608 | 0.00 | 49.28 | 20.30 | 976.00
195618 | 0.00 | 47.26 | 23.25 | 748.00
195628 | 0.00 | 53.98 | 23.01 | 999.00
195638 | 0.00 | 48.94 | 20.69 | 899.00
195648 | 0.00 | 52.37 | 22.69 | 948.00
195658 | 0.64 | 49.33 | 20.76 | 970.00
195708 | 0.00 | 47.54 | 22.48 | 714.00
195718 | 2.05 | 46.56 | 21.18 | 970.00
195728 | 1.78 | 47.36 | 21.47 | 707.00
195738 | 2.82 | 50.48 | 22.47 | 992.00
195748 | 4.75 | 45.37 | 21.10 | 927.00
195758 | 5.93 | 52.18 | 22.79 | 802.00
195808 | 7.53 | 48.18 | 23.27 | 713.00
195818 | 6.04 | 45.98 | 23.52 | 788.00
195828 | 6.06 | 52.55 | 21.36 | 800.00
195838 | 7.98 | 54.35 | 22.90 | 877.00
195848 | 7.87 | 46.52 | 23.66 | 926.00
195858 | 9.72 | 49.74 | 22.58 | 938.00
195908 | 9.31 | 45.72 | 22.93 | 969.00
195918 | 10.02 | 49.08 | 20.36 | 824.00
195928 | 10.30 | 49.30 | 21.14 | 717.00
195938 | 9.96 | 48.53 | 22.46 | 734.00
195948 | 11.37 | 54.77 | 23.77 | 871.00
195958 | 12.01 | 54.15 | 23.69 | 917.00
200008 | 12.25 | 48.65 | 23.28 | 856.00
200018 | 10.51 | 54.39 | 21.95 | 800.00
200028 | 7.19 | 53.00 | 23.09 | 735.00
200038 | 8.15 | 48.01 | 20.98 | 857.00
200048 | 5.09 | 49.23 | 21.94 | 831.00
200058 | 3.88 | 46.42 | 21.30 | 845.00
200108 | 2.13 | 48.15 | 20.09 | 720.00
200118 | 0.06 | 45.99 | 21.36 | 741.00
200128 | 1.99 | 45.05 | 22.53 | 876.00
200138 | 0.00 | 48.98 | 23.60 | 710.00
200148 | 0.00 | 54.36 | 22.27 | 732.00
200158 | 1.53 | 53.65 | 23.60 | 798.00
200208 | 1.80 | 47.21 | 23.87 | 768.00
200218 | 1.84 | 53.17 | 22.57 | 936.00
200228 | 0.53 | 48.44 | 22.03 | 736.00
200238 | 2.59 | 52.42 | 23.87 | 713.00
200248 | 4.75 | 45.07 | 21.65 | 707.00
200258 | 6.61 | 52.51 | 21.14 | 732.00
200308 | 6.97 | 54.35 | 20.41 | 916.00
200318 | 8.22 | 47.45 | 22.55 | 962.00
200328 | 7.83 | 45.04 | 20.18 | 854.00
200338 | 8.02 | 51.68 | 23.95 | 887.00
200348 | 5.61 | 46.48 | 21.99 | 779.00
200358 | 6.57 | 51.61 | 20.78 | 858.00
200408 | 9.04 | 45.68 | 21.85 | 847.00
200418 | 10.01 | 49.32 | 22.96 | 765.00
200428 | 8.41 | 45.94 | 21.42 | 789.00
200438 | 6.34 | 52.23 | 23.50 | 995.00
200448 | 7.40 | 52.90 | 23.75 | 708.00
200458 | 7.46 | 51.91 | 20.11 | 783.00
200508 | 8.94 | 53.68 | 23.43 | 759.00
200518 | 11.32 | 49.09 | 22.88 | 810.00
200528 | 11.37 | 46.01 | 23.84 | 800.00
200538 | 8.79 | 46.14 | 21.58 | 708.00
200548 | 8.96 | 51.29 | 22.74 | 769.00
200558 | 9.62 | 53.36 | 20.17 | 961.00
200608 | 6.46 | 54.26 | 23.17 | 834.00
200618 | 6.74 | 51.33 | 21.25 | 977.00
200628 | 8.75 | 52.92 | 20.19 | 880.00
200638 | 10.80 | 47.01 | 23.53 | 879.00
200648 | 10.29 | 53.28 | 20.14 | 951.00
200658 | 10.85 | 51.78 | 23.42 | 998.00
200708 | 11.78 | 51.81 | 24.00 | 750.00
200718 | 13.25 | 51.38 | 21.82 | 858.00
200728 | 12.44 | 52.62 | 20.94 | 804.00
200738 | 11.36 | 51.32 | 20.51 | 771.00
200748 | 12.63 | 50.87 | 23.30 | 804.00
200758 | 10.94 | 51.94 | 23.95 | 814.00
200808 | 11.10 | 49.14 | 20.04 | 882.00
200818 | 12.96 | 48.98 | 20.06 | 759.00
200828 | 11.94 | 49.72 | 21.99 | 823.00
200838 | 10.31 | 53.29 | 22.23 | 875.00
200848 | 12.17 | 45.22 | 21.21 | 956.00
200858 | 10.20 | 54.80 | 23.29 | 734.00
200908 | 11.70 | 49.87 | 23.23 | 943.00
200918 | 10.75 | 54.79 | 21.93 | 740.00
200928 | 10.55 | 47.76 | 23.23 | 825.00
200938 | 12.04 | 49.94 | 22.23 | 710.00
200948 | 11.46 | 45.53 | 20.34 | 813.00
200958 | 13.08 | 52.72 | 22.27 | 914.00
201008 | 10.46 | 51.48 | 23.63 | 864.00
201018 | 8.14 | 53.29 | 20.71 | 908.00
201028 | 7.70 | 50.30 | 20.23 | 775.00
201038 | 6.24 | 49.10 | 20.40 | 998.00
201048 | 8.68 | 49.64 | 23.30 | 711.00
201058 | 11.12 | 50.01 | 23.49 | 720.00
201108 | 13.34 | 48.59 | 23.04 | 758.00
201118 | 11.59 | 50.97 | 22.77 | 926.00
201128 | 11.64 | 46.39 | 20.86 | 751.00
201138 | 11.23 | 53.84 | 22.31 | 959.00
201148 | 9.16 | 46.72 | 20.63 | 842.00
201158 | 8.03 | 46.25 | 21.14 | 703.00
201208 | 10.38 | 47.65 | 22.82 | 943.00
201218 | 8.26 | 46.07 | 20.99 | 824.00
201228 | 10.22 | 50.29 | 22.09 | 950.00
201238 | 11.84 | 54.18 | 21.65 | 744.00
201248 | 13.89 | 51.39 | 22.15 | 726.00
201258 | 15.67 | 48.78 | 20.17 | 982.00
201308 | 13.04 | 53.61 | 21.72 | 789.00
201318 | 9.67 | 48.77 | 22.06 | 915.00
201328 | 10.70 | 54.19 | 23.32 | 712.00
201338 | 8.14 | 49.07 | 22.22 | 805.00
201348 | 6.27 | 51.91 | 22.67 | 790.00
201358 | 8.42 | 53.67 | 22.23 | 802.00
201408 | 9.92 | 48.12 | 22.58 | 904.00
201418 | 7.29 | 53.91 | 21.50 | 774.00
201428 | 5.39 | 49.03 | 21.16 | 842.00
201438 | 6.07 | 45.34 | 21.47 | 978.00
201448 | 7.91 | 50.89 | 21.98 | 845.00
201458 | 8.67 | 52.36 | 23.05 | 750.00
201508 | 7.36 | 51.79 | 21.91 | 938.00
201518 | 4.34 | 49.65 | 20.62 | 779.00
201528 | 1.11 | 52.65 | 22.52 | 709.00
201538 | 0.00 | 53.07 | 23.98 | 909.00
201548 | 1.64 | 47.00 | 23.52 | 727.00
201558 | 0.00 | 53.65 | 21.77 | 969.00
201608 | 0.57 | 54.90 | 20.12 | 829.00
201618 | 0.00 | 50.10 | 20.03 | 796.00
201628 | 0.70 | 48.80 | 22.64 | 975.00
201638 | 2.21 | 50.39 | 20.91 | 713.00
201648 | 1.30 | 50.36 | 22.67 | 890.00
201658 | 0.00 | 49.54 | 20.85 | 916.00
201708 | 1.14 | 51.97 | 21.79 | 898.00
201718 | 0.33 | 49.72 | 21.78 | 778.00
201728 | 0.00 | 48.07 | 21.53 | 760.00
201738 | 0.00 | 52.48 | 20.39 | 844.00
201748 | 0.00 | 51.70 | 20.39 | 777.00
201758 | 1.89 | 51.96 | 20.36 | 857.00
201808 | 0.00 | 54.24 | 21.37 | 983.00
